"GEO_ID","NAME","S1602_C01_001E","S1602_C01_001M","S1602_C01_002E","S1602_C01_002M","S1602_C01_003E","S1602_C01_003M","S1602_C01_004E","S1602_C01_004M","S1602_C01_005E","S1602_C01_005M","S1602_C02_001E","S1602_C02_001M","S1602_C02_002E","S1602_C02_002M","S1602_C02_003E","S1602_C02_003M","S1602_C02_004E","S1602_C02_004M","S1602_C02_005E","S1602_C02_005M","S1602_C03_001E","S1602_C03_001M","S1602_C03_002E","S1602_C03_002M","S1602_C03_003E","S1602_C03_003M","S1602_C03_004E","S1602_C03_004M","S1602_C03_005E","S1602_C03_005M","S1602_C04_001E","S1602_C04_001M","S1602_C04_002E","S1602_C04_002M","S1602_C04_003E","S1602_C04_003M","S1602_C04_004E","S1602_C04_004M","S1602_C04_005E","S1602_C04_005M"
"id","Geographic Area Name","Estimate!!Total!!All households","Margin of Error!!Total!!All households","Estimate!!Total!!All households!!Households speaking --!!Spanish","Margin of Error!!Total!!All households!!Households speaking --!!Spanish","Estimate!!Total!!All households!!Households speaking --!!Other Indo-European languages","Margin of Error!!Total!!All households!!Households speaking --!!Other Indo-European languages","Estimate!!Total!!All households!!Households speaking --!!Asian and Pacific Island languages","Margin of Error!!Total!!All households!!Households speaking --!!Asian and Pacific Island languages","Estimate!!Total!!All households!!Households speaking --!!Other languages","Margin of Error!!Total!!All households!!Households speaking --!!Other languages","Estimate!!Percent!!All households","Margin of Error!!Percent!!All households","Estimate!!Percent!!All households!!Households speaking --!!Spanish","Margin of Error!!Percent!!All households!!Households speaking --!!Spanish","Estimate!!Percent!!All households!!Households speaking --!!Other Indo-European languages","Margin of Error!!Percent!!All households!!Households speaking --!!Other Indo-European languages","Estimate!!Percent!!All households!!Households speaking --!!Asian and Pacific Island languages","Margin of Error!!Percent!!All households!!Households speaking --!!Asian and Pacific Island languages","Estimate!!Percent!!All households!!Households speaking --!!Other languages","Margin of Error!!Percent!!All households!!Households speaking --!!Other languages","Estimate!!Limited English-speaking households!!All households","Margin of Error!!Limited English-speaking households!!All households","Estimate!!Limited English-speaking households!!All households!!Households speaking --!!Spanish","Margin of Error!!Limited English-speaking households!!All households!!Households speaking --!!Spanish","Estimate!!Limited English-speaking households!!All households!!Households speaking --!!Other Indo-European languages","Margin of Error!!Limited English-speaking households!!All households!!Households speaking --!!Other Indo-European languages","Estimate!!Limited English-speaking households!!All households!!Households speaking --!!Asian and Pacific Island languages","Margin of Error!!Limited English-speaking households!!All households!!Households speaking --!!Asian and Pacific Island languages","Estimate!!Limited English-speaking households!!All households!!Households speaking --!!Other languages","Margin of Error!!Limited English-speaking households!!All households!!Households speaking --!!Other languages","Estimate!!Percent limited English-speaking households!!All households","Margin of Error!!Percent limited English-speaking households!!All households","Estimate!!Percent limited English-speaking households!!All households!!Households speaking --!!Spanish","Margin of Error!!Percent limited English-speaking households!!All households!!Households speaking --!!Spanish","Estimate!!Percent limited English-speaking households!!All households!!Households speaking --!!Other Indo-European languages","Margin of Error!!Percent limited English-speaking households!!All households!!Households speaking --!!Other Indo-European languages","Estimate!!Percent limited English-speaking households!!All households!!Households speaking --!!Asian and Pacific Island languages","Margin of Error!!Percent limited English-speaking households!!All households!!Households speaking --!!Asian and Pacific Island languages","Estimate!!Percent limited English-speaking households!!All households!!Households speaking --!!Other languages","Margin of Error!!Percent limited English-speaking households!!All households!!Households speaking --!!Other languages"
"8600000US01876","ZCTA5 01876","11684","301","138","74","1026","224","251","86","63","42","(X)","(X)","1.2","0.6","8.8","1.9","2.1","0.7","0.5","0.4","125","77","0","26","40","40","78","52","7","10","1.1","0.7","0.0","22.2","3.9","3.8","31.1","17.9","11.1","19.4"
"8600000US01879","ZCTA5 01879","4439","212","137","114","363","150","358","182","20","33","(X)","(X)","3.1","2.6","8.2","3.3","8.1","4.0","0.5","0.7","133","118","0","19","58","61","75","102","0","19","3.0","2.6","0.0","22.3","16.0","15.4","20.9","24.9","0.0","68.8"
"8600000US01880","ZCTA5 01880","10529","303","259","85","608","143","200","84","101","64","(X)","(X)","2.5","0.8","5.8","1.3","1.9","0.8","1.0","0.6","96","56","51","48","23","28","8","13","14","22","0.9","0.5","19.7","16.4","3.8","4.6","4.0","6.3","13.9","21.7"
"8600000US01886","ZCTA5 01886","8571","202","100","54","588","187","973","129","24","25","(X)","(X)","1.2","0.6","6.9","2.2","11.4","1.5","0.3","0.3","73","46","0","23","0","23","73","46","0","23","0.9","0.5","0.0","28.8","0.0","5.8","7.5","4.8","0.0","62.8"
"8600000US01887","ZCTA5 01887","7957","229","67","51","639","160","333","111","202","135","(X)","(X)","0.8","0.6","8.0","2.0","4.2","1.4","2.5","1.7","151","82","12","20","81","59","58","55","0","23","1.9","1.0","17.9","37.0","12.7","9.2","17.4","13.8","0.0","15.9"
"8600000US01890","ZCTA5 01890","7884","189","170","69","1016","162","688","123","61","38","(X)","(X)","2.2","0.9","12.9","2.1","8.7","1.5","0.8","0.5","190","81","0","23","78","54","112","61","0","23","2.4","1.0","0.0","18.5","7.7","5.0","16.3","8.0","0.0","39.4"
"8600000US01901","ZCTA5 01901","1017","182","445","129","184","64","28","43","80","73","(X)","(X)","43.8","10.4","18.1","6.6","2.8","4.2","7.9","6.9","458","117","259","102","152","63","28","43","19","32","45.0","11.3","58.2","18.5","82.6","17.5","100.0","58.2","23.8","42.2"
"8600000US01902","ZCTA5 01902","17085","488","6478","424","2009","343","891","162","485","141","(X)","(X)","37.9","2.2","11.8","2.0","5.2","1.0","2.8","0.8","3432","414","2363","368","714","167","254","95","101","67","20.1","2.3","36.5","4.8","35.5","7.5","28.5","9.4","20.8","13.3"
"8600000US01904","ZCTA5 01904","6205","284","1260","240","483","105","124","68","74","50","(X)","(X)","20.3","3.5","7.8","1.7","2.0","1.1","1.2","0.8","432","177","259","171","149","47","15","23","9","14","7.0","2.8","20.6","11.3","30.8","8.6","12.1","18.0","12.2","20.9"
"8600000US01905","ZCTA5 01905","8247","252","2680","290","923","189","632","118","306","104","(X)","(X)","32.5","3.2","11.2","2.3","7.7","1.5","3.7","1.3","1143","194","718","158","208","79","217","86","0","23","13.9","2.3","26.8","5.1","22.5","7.7","34.3","10.3","0.0","10.8"
"8600000US01906","ZCTA5 01906","10431","362","613","232","1164","248","233","104","66","78","(X)","(X)","5.9","2.2","11.2","2.4","2.2","1.0","0.6","0.7","262","129","0","23","204","119","58","59","0","23","2.5","1.2","0.0","5.5","17.5","9.0","24.9","22.7","0.0","37.9"
"8600000US01907","ZCTA5 01907","5875","236","131","125","911","193","53","47","62","56","(X)","(X)","2.2","2.1","15.5","3.2","0.9","0.8","1.1","0.9","164","81","0","19","139","75","25","29","0","19","2.8","1.4","0.0","23.2","15.3","7.7","47.2","49.3","0.0","39.1"
"8600000US01908","ZCTA5 01908","1602","121","50","40","133","60","20","23","9","14","(X)","(X)","3.1","2.5","8.3","3.7","1.2","1.4","0.6","0.9","45","36","26","29","10","15","0","12","9","14","2.8","2.2","52.0","41.4","7.5","12.5","0.0","68.8","100.0","100.0"
"8600000US01913","ZCTA5 01913","7215","190","86","58","293","96","69","61","40","39","(X)","(X)","1.2","0.8","4.1","1.3","1.0","0.8","0.6","0.5","18","20","10","15","0","19","8","14","0","19","0.2","0.3","11.6","17.0","0.0","11.2","11.6","21.9","0.0","48.7"
"8600000US01915","ZCTA5 01915","16443","436","672","225","1037","222","201","93","58","48","(X)","(X)","4.1","1.4","6.3","1.3","1.2","0.6","0.4","0.3","392","160","139","112","183","104","48","44","22","26","2.4","1.0","20.7","13.3","17.6","8.9","23.9","20.8","37.9","41.7"
"8600000US01921","ZCTA5 01921","2839","118","22","34","184","97","64","62","0","17","(X)","(X)","0.8","1.2","6.5","3.5","2.3","2.2","0.0","1.2","19","30","0","17","19","30","0","17","0","17","0.7","1.1","0.0","65.6","10.3","16.8","0.0","38.5","-","**"
"8600000US01922","ZCTA5 01922","1223","143","0","12","44","39","0","12","0","12","(X)","(X)","0.0","2.8","3.6","3.2","0.0","2.8","0.0","2.8","0","12","0","12","0","12","0","12","0","12","0.0","2.8","-","**","0.0","46.4","-","**","-","**"
